iter	Passed	Remaining
0	1	1746
1	2	1441
2	7	2590
3	9	2305
4	10	2082
5	15	2550
6	19	2752
7	20	2579
8	22	2423
9	23	2298
10	28	2545
11	29	2444
12	31	2353
13	32	2272
14	33	2229
15	35	2156
16	36	2088
17	37	2027
18	39	2056
19	43	2132
20	45	2109
21	47	2117
22	49	2086
23	50	2047
24	51	2010
25	53	2022
26	56	2032
27	57	2004
28	58	1971
29	61	1975
30	62	1955
31	63	1928
32	64	1898
33	65	1868
34	66	1840
35	67	1814
36	68	1788
37	70	1797
38	72	1784
39	73	1771
40	75	1754
41	76	1735
42	77	1716
43	78	1698
44	80	1702
45	81	1691
46	82	1674
47	85	1689
48	86	1677
49	87	1665
50	88	1654
51	90	1645
52	91	1631
53	92	1616
54	93	1602
55	94	1588
56	95	1576
57	96	1562
58	97	1549
59	99	1552
60	100	1542
61	101	1533
62	102	1523
63	103	1511
64	104	1501
65	105	1490
66	106	1479
67	107	1469
68	108	1461
69	109	1451
70	110	1443
71	111	1434
72	112	1431
73	113	1426
74	115	1419
75	116	1411
76	117	1402
77	117	1394
78	118	1386
79	119	1379
80	120	1371
81	121	1364
82	122	1352
83	124	1353
84	125	1347
85	126	1340
86	128	1343
87	129	1338
88	130	1332
89	131	1325
90	132	1319
91	133	1313
92	134	1306
93	135	1301
94	136	1297
95	137	1292
96	138	1288
97	139	1282
98	140	1277
99	141	1274
100	143	1276
101	144	1272
102	145	1268
103	146	1265
104	147	1260
105	148	1256
106	149	1251
107	150	1246
108	151	1241
109	152	1236
110	153	1231
111	154	1226
112	156	1227
113	157	1225
114	158	1222
115	159	1218
116	160	1212
117	162	1211
118	163	1206
119	163	1202
120	164	1197
121	165	1192
122	166	1188
123	167	1184
124	168	1180
125	169	1176
126	171	1182
127	172	1178
128	173	1174
129	174	1170
130	175	1166
131	177	1164
132	178	1161
133	179	1157
134	180	1153
135	181	1150
136	181	1146
137	182	1142
138	183	1139
139	185	1141
140	187	1139
141	187	1133
142	188	1130
143	189	1127
144	190	1125
145	193	1129
146	194	1128
147	195	1125
148	196	1123
149	201	1141
150	203	1142
151	204	1140
152	205	1137
153	206	1134
154	207	1132
155	208	1130
156	209	1127
157	210	1123
158	211	1121
159	212	1117
160	213	1112
161	215	1116
162	216	1114
163	218	1112
164	219	1110
165	220	1108
166	221	1105
167	222	1103
168	223	1099
169	224	1096
170	225	1093
171	226	1090
172	227	1087
173	228	1084
174	229	1083
175	230	1081
176	232	1080
177	233	1078
178	234	1076
179	236	1077
180	237	1075
181	238	1072
182	239	1069
183	240	1066
184	241	1064
185	242	1062
186	245	1069
187	247	1066
188	248	1065
189	249	1063
190	250	1062
191	251	1059
192	252	1057
193	253	1054
194	254	1051
195	255	1049
196	256	1046
197	257	1043
198	259	1044
199	260	1043
200	262	1042
201	263	1040
202	264	1038
203	265	1035
204	266	1033
205	267	1030
206	268	1028
207	269	1026
208	270	1024
209	272	1023
210	273	1023
211	274	1021
212	275	1019
213	276	1016
214	277	1014
215	278	1011
216	279	1009
217	280	1006
218	281	1003
219	282	1001
220	283	999
221	284	996
222	285	994
223	287	997
224	289	995
225	290	993
226	291	991
227	292	989
228	293	987
229	294	985
230	295	983
231	296	980
232	297	978
233	298	976
234	299	974
235	300	972
236	302	972
237	303	970
238	304	968
239	305	967
240	307	967
241	308	965
242	309	962
243	310	961
244	311	958
245	312	956
246	313	954
247	314	952
248	315	950
249	316	950
250	317	948
251	318	945
252	319	943
253	320	941
254	321	939
255	322	937
256	323	935
257	324	933
258	325	932
259	326	930
260	327	928
261	328	926
262	331	930
263	333	928
264	334	927
265	335	926
266	338	930
267	340	929
268	342	930
269	343	929
270	345	929
271	346	928
272	347	926
273	348	924
274	350	922
275	351	921
276	352	920
277	354	919
278	356	920
279	358	921
280	359	919
281	360	917
282	361	915
283	362	913
284	363	911
285	364	909
286	365	907
287	367	907
288	368	906
289	369	904
290	370	902
291	371	900
292	373	900
293	374	898
294	374	896
295	375	894
296	376	892
297	377	890
298	378	888
299	379	886
300	381	885
301	382	884
302	383	882
303	384	880
304	385	878
305	386	876
306	387	875
307	388	873
308	389	871
309	390	869
310	391	868
311	392	865
312	393	864
313	394	862
314	396	862
315	397	860
316	398	858
317	399	857
